ticker,market_cap,pe_ratio,ev_ebitda,pb_ratio,roe,roic,gross_margin,debt_to_equity,revenue_growth,earnings_growth,price_1m,price_3m,price_6m,fetched_at,sector,sub_industry,score_valuation,score_quality,score_momentum,composite_score,rank,tier,q1_score,qoq_delta,tone_trend,sentiment_flag,divergence_type,divergence_explanation
MO,123404959744.0,15.427976,9.134,-38.44953,,0.375506,0.87378997,,0.053,1.063,0.100521,0.089276,0.334614,2026-05-23T02:05:47.086068,Consumer Staples,Tobacco,2.0550423575624355,3.00486439986641,1.808540364846416,2.313529474554021,1,A,0.1663,0.0117,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
BKNG,124801925120.0,21.24802,12.226,-14.399642,,0.585594,0.86987,,0.162,2.4,-0.088769,0.042589,-0.170646,2026-05-23T02:06:39.939463,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.9357075595999036,2.861393701178759,0.8189341280112402,1.574665679675904,2,A,0.0848,-0.0068,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
PM,294552043520.0,26.61831,18.405,-29.437695,,0.263647,0.67280996,,0.091,-0.093,0.117028,0.018465,0.273774,2026-05-23T02:12:00.898835,Consumer Staples,Tobacco,0.8285336846163764,2.414751003523936,1.0530542923220594,1.451065928545727,3,A,0.1486,0.0315,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
APA,13714644992.0,9.044289,3.596,2.124165,0.26217,0.139459,0.72273004,61.314,-0.119,0.322,,0.360018,0.615368,2026-05-23T02:06:04.047018,Energy,Oil & Gas Exploration & Production,1.2375811533715717,1.570316422751027,1.502122668046168,1.4334009520567597,4,A,0.2593,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
EIX,27389634560.0,7.7369566,8.309,1.5890167,0.18864,0.059282,0.58677,226.101,0.077,-0.632,0.011942,-0.03497,0.235218,2026-05-23T02:08:24.182145,Utilities,Electric Utilities,1.805366322706426,1.8747314268320845,0.4622913923435899,1.4267216300415555,5,A,0.1194,-0.0663,deteriorating,CAUTION,SENTIMENT_RISK,High composite (1.43) but CAUTION sentiment (deteriorating). Factor model is bullish; management tone is not. Investigate before including in watchlist.
ALL,55757373440.0,4.7920356,3.994,1.8875489,0.45221,0.324777,0.34428,23.719,0.03,3.384,0.000185,0.055957,0.029915,2026-05-23T02:05:44.454515,Financials,Property & Casualty Insurance,1.1940429305692375,2.1334751990848893,0.6940981202868486,1.372860781464999,6,A,0.1664,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
CF,18696683520.0,10.9639635,6.746,3.4995396,0.273,0.196148,0.39125,43.847,0.194,1.151,-0.027018,0.280219,0.581885,2026-05-23T02:07:09.482274,Materials,Fertilizers & Agricultural Chemicals,0.8395411502615924,1.8270922309245905,1.3384283843999745,1.3348501987351562,7,A,0.2499,0.0287,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
MU,846928216064.0,35.441246,23.25,11.691082,0.39823002,0.289656,0.58437,14.902,1.963,7.56,0.558997,0.784724,2.356491,2026-05-23T02:11:02.442168,Information Technology,Semiconductors,0.4266315391800366,0.5274610400615783,2.707754147040589,1.146258646846742,8,A,0.1692,0.0,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
WDC,166922665984.0,28.946802,42.302,23.154673,0.85920995,0.710845,0.45428002,17.81,0.455,4.829,0.20133,0.727807,2.212757,2026-05-23T02:14:20.113978,Information Technology,"Technology Hardware, Storage & Peripherals",-0.0733222270435759,1.5652061984490566,2.0738843525051256,1.144324695743456,9,A,0.1386,-0.2551,deteriorating,CAUTION,SENTIMENT_RISK,High composite (1.14) but CAUTION sentiment (deteriorating). Factor model is bullish; management tone is not. Investigate before including in watchlist.
SNDK,218978844672.0,50.467236,39.926,21.428114,0.39297,0.432275,0.56038,1.503,2.51,,0.585846,1.218623,5.5152,2026-05-23T02:12:44.753388,Information Technology,"Technology Hardware, Storage & Peripherals",-0.2009739768914439,0.8545608461117602,3.0477441054652323,1.1430786358666802,10,A,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
DVA,12742006784.0,19.106833,9.708,-17.391153,0.80981004,0.060571,0.32454,1261.331,0.06,0.435,0.280526,0.312269,0.661394,2026-05-23T02:07:58.549238,Health Care,Health Care Services,1.773687456257294,-0.7229331124731273,2.4830001829990715,1.11266407522418,11,A,0.3836,0.2835,improving,POSITIVE,CONFIRMED_BUY,Strong composite (1.11) + positive/improving sentiment. All signals aligned — highest conviction.
NEM,114911379456.0,13.961089,6.89,3.3069124,0.25832,0.209926,0.67356,15.762,0.458,0.786,-0.030794,-0.131929,0.250102,2026-05-23T02:11:18.278748,Materials,Gold,0.8747818386112653,2.322178399711388,-0.0606815891359018,1.100731606672158,12,A,0.2663,0.1259,improving,POSITIVE,CONFIRMED_BUY,Strong composite (1.10) + positive/improving sentiment. All signals aligned — highest conviction.
ADP,90064125952.0,21.017723,14.06,14.214245,0.71208,0.404837,0.48497,69.259,0.07,0.105,0.134891,0.104222,-0.085805,2026-05-23T02:06:18.963974,Industrials,Human Resource & Employment Services,0.2033715118370123,2.286984485925825,0.7295450190209636,1.090488104923282,13,A,0.1561,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
PFG,22432884736.0,14.8995695,9.992,1.9024675,0.13385999,0.097855,0.47612998,33.624,-0.045,8.19,0.070619,0.13048,0.25089,2026-05-23T02:12:08.435276,Financials,Life & Health Insurance,0.6043552900366129,0.0996815863264522,2.5152127154191497,1.0009767213528176,14,A,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
FICO,28754636800.0,39.28739,27.444,-13.743336,,0.485588,0.84165,,0.387,0.69,0.265524,-0.03256,-0.290771,2026-05-23T02:08:54.044417,Information Technology,Application Software,0.7562119010024546,2.4711594274883235,-0.5330652124034343,0.9696604012507422,15,A,,,no_data,NEUTRAL,HIDDEN_GEM,"Strong fundamentals (val=0.76, qual=2.47) but negative momentum (mom_z=-0.53). Potential re-rating opportunity — market hasn't priced quality yet."
NUE,52835897344.0,23.015873,11.568,2.5298786,0.12285,0.082867,0.14062999,31.595,0.213,3.821,0.089458,0.301601,0.520241,2026-05-23T02:11:34.019815,Materials,Steel,0.5119858776023968,0.057285849526562,2.42747728301703,0.9274882894002444,16,A,0.1298,0.0,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
DECK,15141803008.0,15.151988,9.429,5.818152,0.39688,0.353064,0.57545,13.14,0.071,0.11,-0.009656,-0.097317,0.283171,2026-05-23T02:07:59.138155,Consumer Discretionary,Footwear,0.6587440936146495,1.430998741240455,0.5525718028206091,0.8971815330454692,17,A,0.3268,0.1142,improving,POSITIVE,CONFIRMED_BUY,Strong composite (0.90) + positive/improving sentiment. All signals aligned — highest conviction.
INCY,19410835456.0,13.723165,9.997,3.4550693,0.30823,0.253076,0.52766,0.701,0.209,0.838,0.017702,-0.036589,-0.085467,2026-05-23T02:09:50.178202,Health Care,Biotechnology,0.834356388062098,1.2233686673899655,0.5029627394986769,0.8710925912578253,18,A,0.3666,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
HST,15526489088.0,15.224489,11.67,2.2451844,0.1487,0.081062,0.28978002,80.482,0.028,1.053,0.062174,0.144666,0.330633,2026-05-23T02:09:39.041985,Real Estate,Hotel & Resort REITs,0.8904781186331708,0.2495737225266548,1.5431369872029017,0.8619592405668095,19,A,0.2615,0.0977,improving,POSITIVE,CONFIRMED_BUY,Strong composite (0.86) + positive/improving sentiment. All signals aligned — highest conviction.
FTNT,98123595776.0,51.91085,39.011,99.35459,1.32392,1.257067,0.80304,57.31,0.201,0.286,0.618294,0.771561,0.678952,2026-05-23T02:09:03.112992,Information Technology,Systems Software,-1.1714699709498295,2.627644778257052,1.0630234765642954,0.8285682255268163,20,A,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
MAR,97340653568.0,38.614014,24.216,-23.879293,,0.193854,0.79037005,,0.126,0.017,0.002471,0.079514,0.248568,2026-05-23T02:10:43.890553,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.0113318865299394,1.5375240095230425,0.9575037308455994,0.8214183623012659,21,A,0.1639,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
ORLY,76026322944.0,29.882736,20.808,-71.56007,,0.339545,0.51632,,0.102,0.161,-0.016088,-0.037861,-0.073333,2026-05-23T02:11:37.731265,Consumer Discretionary,Automotive Retail,0.6734381222183099,1.6188584836100426,0.0250120956184113,0.8098074407254467,22,A,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
TRV,65167089664.0,9.142601,6.38,2.0369287,0.25272,0.182958,0.32878,28.975,0.01,3.576,-0.002831,0.007158,0.061727,2026-05-23T02:13:32.942604,Financials,Property & Casualty Insurance,1.0415963334584362,0.7453302604519505,0.5960112519902468,0.8042276834657093,23,A,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
NVDA,5215507972096.0,33.026073,31.685,33.27101,1.14288,0.941268,0.74144995,6.555,0.852,2.145,0.078591,0.124206,0.179697,2026-05-23T02:11:35.449243,Information Technology,Semiconductors,-0.2393830099826567,2.50106692699381,0.0120663780318585,0.7952092843634612,24,A,0.218,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
TROW,22153023488.0,11.093348,6.717,2.0613687,0.18688999,0.182405,0.51999,3.87,0.053,0.037,0.0392,0.12755,0.057399,2026-05-23T02:13:12.706804,Financials,Asset Management & Custody Banks,0.943323352651469,0.873396733689737,0.501880091940303,0.786416057801513,25,A,0.1828,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
MSCI,42803822592.0,33.57387,25.585,-15.466585,,0.346807,0.82856005,,0.141,0.491,-0.012265,0.097115,0.065403,2026-05-23T02:11:15.399592,Financials,Financial Exchanges & Data,-1.0043948146866428,3.0892467333246745,0.1851271715169921,0.7852363229784087,26,B,0.1338,-0.0108,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
FRT,10408478720.0,20.78993,18.506,3.2827106,0.14783,0.061444,0.67989,138.432,0.103,1.525,0.073991,0.109115,0.26014,2026-05-23T02:08:55.817917,Real Estate,Retail REITs,0.3817814810797187,0.5965630370559625,1.4574639844896031,0.7796597766943694,27,B,0.3822,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
GOOG,4596356874240.0,28.938217,28.609,9.601154,0.38884997,0.51437,0.60368,20.026,0.218,0.82,0.123257,0.218028,0.192875,2026-05-23T02:05:45.858118,Communication Services,Interactive Media & Services,-1.090851895362166,1.663160352661864,1.9239975738473856,0.7775072322091099,28,B,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
GOOGL,4639851282432.0,29.23435,28.924,9.692008,0.38884997,0.491447,0.60368,20.026,0.218,0.82,0.130072,0.230343,0.203749,2026-05-23T02:05:45.050831,Communication Services,Interactive Media & Services,-1.1189152581352395,1.663160352661864,1.945729579691221,0.7742046569916847,29,B,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
EOG,75217805312.0,13.872298,6.278,2.4437602,0.18195,0.14064,0.61994,26.873,0.156,0.396,0.054904,0.163572,0.347904,2026-05-23T02:08:31.823387,Energy,Oil & Gas Exploration & Production,0.8414320613870652,1.2824382522292093,0.0951277179264589,0.7718929251436337,30,B,0.0983,-0.0568,deteriorating,CAUTION,ALIGNED,No significant divergence. Signals are broadly consistent.
DAL,50023550976.0,11.115329,8.46,2.441715,0.2499,0.106861,0.19900998,105.021,0.129,,0.116601,0.144579,0.261734,2026-05-23T02:08:02.046046,Industrials,Passenger Airlines,1.3524717382933595,-0.7422006896696935,1.831288730507051,0.7629814861703983,31,B,0.134,-0.0014,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
SBAC,21803374592.0,21.66175,20.411,-4.5886164,,0.095384,0.74191004,,0.059,-0.147,-0.063889,0.036719,0.071886,2026-05-23T02:12:45.873870,Real Estate,Telecom Tower REITs,0.9136626286150734,2.0888090371205923,-0.9654029548526744,0.7612441965516805,32,B,0.1873,-0.0534,deteriorating,CAUTION,HIDDEN_GEM,"Strong fundamentals (val=0.91, qual=2.09) but negative momentum (mom_z=-0.97). Potential re-rating opportunity — market hasn't priced quality yet."
MTD,22290800640.0,25.93675,19.878,-532.1225,,0.400165,0.59186,,0.072,0.067,-0.127551,-0.208256,-0.24967,2026-05-23T02:10:58.662250,Health Care,Life Sciences Tools & Services,0.8380889285380247,2.389821166348886,-1.2384379115064283,0.7582371597584903,33,B,0.2525,0.0025,stable,NEUTRAL,HIDDEN_GEM,"Strong fundamentals (val=0.84, qual=2.39) but negative momentum (mom_z=-1.24). Potential re-rating opportunity — market hasn't priced quality yet."
AFL,59988959232.0,13.469714,11.251,2.0083153,0.16469,0.104569,0.50049996,48.276,0.279,38.6,0.029103,0.054475,0.078998,2026-05-23T02:03:58.551853,Financials,Life & Health Insurance,0.5524791795530108,0.1884811408854479,1.5906302921509003,0.7365251997987305,34,B,0.1384,0.0,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
QCOM,251020640256.0,25.608603,17.725,9.246059,0.36083,0.233952,0.54799,55.979,-0.035,1.73,0.777977,0.707066,0.459553,2026-05-23T02:12:19.586627,Information Technology,Semiconductors,0.6601235590946842,0.1272837364992814,1.3861129514568606,0.6914264388949461,35,B,0.3847,0.1773,improving,POSITIVE,ALIGNED,No significant divergence. Signals are broadly consistent.
AIZ,12625728512.0,13.060994,7.905,2.1564763,0.18016,0.122992,0.12745,37.61,0.113,0.912,0.105702,0.166651,0.136386,2026-05-23T02:06:15.146901,Financials,Multi-line Insurance,0.774299650329433,-0.0745342702657321,1.4398942282193228,0.6768861514880922,36,B,0.1604,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
EBAY,51392999424.0,26.732101,18.568,11.701375,0.42875,0.173046,0.71786004,163.327,0.195,0.071,0.119439,0.377499,0.440805,2026-05-23T02:08:20.916724,Consumer Discretionary,Broadline Retail,-0.4215480547440619,0.7999136582441694,1.80094003390248,0.6727099713957817,37,B,0.147,0.063,improving,POSITIVE,ALIGNED,No significant divergence. Signals are broadly consistent.
AMP,40661352448.0,11.265504,,6.5589247,0.66936,0.40182,0.56601,56.246,0.09,0.66,-0.012332,0.000401,0.020745,2026-05-23T02:05:56.588650,Financials,Asset Management & Custody Banks,-0.3555036151165708,2.4721652886116154,-0.2522030368127432,0.6651706746794426,38,C,0.2038,-0.0092,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
GWW,58912059392.0,33.560787,19.776,14.994774,0.46129,0.26558,0.39150003,64.034,0.101,0.182,0.073313,0.1196,0.347023,2026-05-23T02:14:06.248757,Industrials,Industrial Machinery & Supplies & Components,-0.4767758062620653,1.254399635065889,1.3002165453690122,0.6622333036920419,39,B,0.1595,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
OTIS,27923015680.0,19.353722,14.085,-4.9416,,0.576849,0.30546,,0.064,0.426,-0.078992,-0.191486,-0.154237,2026-05-23T02:11:44.652859,Industrials,Industrial Machinery & Supplies & Components,1.04374969372367,1.441536205914175,-0.7385948012209884,0.6482716245069493,40,B,,,no_data,NEUTRAL,HIDDEN_GEM,"Strong fundamentals (val=1.04, qual=1.44) but negative momentum (mom_z=-0.74). Potential re-rating opportunity — market hasn't priced quality yet."
GILD,166817333248.0,18.280272,11.826,7.096604,0.4336,0.201748,0.79367995,94.635,0.044,0.548,0.005388,-0.098158,0.085779,2026-05-23T02:09:21.120987,Health Care,Biotechnology,0.3057494241526582,1.234666722249189,0.3412440326323736,0.6415188610303586,41,B,0.1904,,insufficient_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
PAYX,34754215936.0,21.412802,23.011,8.659168,,,0.67197996,124.91,0.199,0.091,0.080238,0.124243,-0.096813,2026-05-23T02:11:53.643329,Industrials,Human Resource & Employment Services,0.0958365287979108,1.1949117994179164,0.6083767341374035,0.6342749351167605,42,B,0.1728,-0.1348,deteriorating,CAUTION,ALIGNED,No significant divergence. Signals are broadly consistent.
INTC,602315816960.0,,43.842,5.4037967,-0.02911,-0.020282,0.372,36.028,0.072,,0.794549,1.746734,2.348421,2026-05-23T02:09:52.821146,Information Technology,Semiconductors,0.2092684396406631,-1.044821064916214,3.075772293292511,0.6302882691413104,43,B,0.1119,-0.2003,deteriorating,CAUTION,MOMENTUM_TRAP,"Strong momentum (mom_z=3.08) but weak fundamentals (val=0.21, qual=-1.04). Price running ahead of fundamentals — high reversal risk."
ACGL,33646219264.0,7.4076924,5.662,1.4491227,0.21305999,0.186223,0.39369,11.282,-0.033,0.946,-0.018048,-0.024316,0.047422,2026-05-23T02:06:10.630113,Financials,Property & Casualty Insurance,1.226295024681617,0.7985451497677227,-0.2615575353034937,0.6302268004662208,44,B,0.2091,0.0,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
PTC,17121423360.0,14.239193,13.482,4.586466,0.344,0.243712,0.84713,35.78,0.217,2.689,0.091291,-0.017564,-0.128879,2026-05-23T02:12:15.431105,Information Technology,Application Software,0.950031765653074,0.8310442066042604,-0.0582040045010998,0.6059153889397371,45,B,0.2224,-0.2398,deteriorating,CAUTION,ALIGNED,No significant divergence. Signals are broadly consistent.
VICI,30688235520.0,9.760274,12.062,1.0808146,0.11331,0.067345,0.99141,61.853,0.035,0.601,-0.000351,-0.041567,0.024779,2026-05-23T02:14:00.455362,Real Estate,Hotel & Resort REITs,0.9939883959102136,1.3279990982895442,-0.7350961388527605,0.592166781314087,46,B,0.2871,0.0714,improving,POSITIVE,HIDDEN_GEM,"Strong fundamentals (val=0.99, qual=1.33) but negative momentum (mom_z=-0.74). Potential re-rating opportunity — market hasn't priced quality yet."
BBY,12985144320.0,12.228175,5.776,4.3477955,0.37041,0.150128,0.22482,139.474,-0.01,3.725,0.002114,-0.002258,-0.161669,2026-05-23T02:06:32.515504,Consumer Discretionary,Computer & Electronics Retail,0.9763619846018606,-0.3051103671805631,1.183570071738512,0.5900090876190077,47,B,0.1769,0.0,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
EME,37804142592.0,28.477356,20.175,9.756913,0.39229,0.305178,0.19294001,13.355,0.197,0.3,-0.027717,0.052901,0.409727,2026-05-23T02:08:28.360537,Industrials,Construction & Engineering,-0.0207187646694274,0.9570753163191,0.8509021277704487,0.58299543140852,48,B,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
ES,26325602304.0,14.989293,11.516,1.592067,0.10912,0.0373,0.5349,181.822,0.094,0.074,0.029969,-0.043945,0.10205,2026-05-23T02:08:45.288398,Utilities,Electric Utilities,1.164014071470935,0.1857533855416072,0.3633978940478966,0.5814379781687588,49,B,0.2002,0.0463,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
ED,40000212992.0,18.303541,11.07,1.5605141,0.08732,0.040826,0.53192,106.177,0.062,0.129,-0.007264,-0.023995,0.115134,2026-05-23T02:07:38.676172,Utilities,Multi-Utilities,0.953673715337766,0.5445737269351062,0.1881124040923099,0.5808203260231982,50,B,,,no_data,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
FCX,89114337280.0,32.798943,11.065,4.5671554,0.15630999,0.091098,0.38636002,33.008,0.088,1.531,0.008295,-0.052227,0.526877,2026-05-23T02:09:07.631628,Materials,Copper,-0.0961484551265008,0.9739820237678058,0.8891093098487689,0.5739745419790874,51,B,,,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
EG,13957299200.0,7.180578,,0.918047,0.13822,0.106959,0.15487,23.471,-0.047,2.307,0.005416,0.050751,0.144915,2026-05-23T02:08:40.914090,Financials,Reinsurance,1.1705497120463004,-0.183759407401108,0.7030491613778161,0.5562913550391622,52,B,,,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
CINF,26002841600.0,9.611207,7.037,1.6538277,0.18735,0.166016,0.27938998,5.626,0.116,,-0.000476,0.05085,0.019592,2026-05-23T02:07:19.858241,Financials,Property & Casualty Insurance,1.041088807661252,0.5032670700217152,0.0462143654750985,0.5543888668315681,53,B,,,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
LLY,949704589312.0,37.873398,26.701,30.500902,1.07459,0.339257,0.82832,139.015,0.555,1.699,0.162571,0.007816,-0.001445,2026-05-23T02:10:32.985675,Health Care,Pharmaceuticals,-2.152065269404253,2.3636760565158808,1.587282187379626,0.5502484317029573,54,B,,,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
CEG,106215161856.0,25.526909,15.732,3.1824725,0.16104999,0.067889,0.23263,66.428,0.638,10.91,0.006001,0.003818,-0.167135,2026-05-23T02:07:40.950717,Utilities,Electric Utilities,-0.7411861313640258,1.6365453460360857,0.7805397518860279,0.5475376507010292,55,B,,,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
GEV,279130210304.0,30.33703,80.709,20.049414,0.75708,0.530347,0.20282,24.925,0.163,18.165,-0.096379,0.249691,0.79182,2026-05-23T02:09:14.810856,Industrials,Heavy Electrical Equipment,-1.835266045257836,1.7666791148738814,1.89811613134339,0.545429413768633,56,B,,,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
CCI,39917895680.0,38.590717,25.639,-20.767485,,0.037164,0.73819,,-0.048,,0.045018,0.055908,0.052552,2026-05-23T02:07:51.677487,Real Estate,Telecom Tower REITs,1.081121576100919,0.3525855964694263,0.1369631508582436,0.5428864556570939,57,B,,,stable,NEUTRAL,ALIGNED,No significant divergence. Signals are broadly consistent.
